ds,holiday,country,year
01/05/2021,Fete du Travail,FR,2021
08/05/2021,Armistice 1945,FR,2021
13/05/2021,Ascension,FR,2021
24/05/2021,Lundi de Pentecote,FR,2021
14/07/2021,Fete nationale,FR,2021
15/08/2021,Assomption,FR,2021
01/11/2021,Toussaint,FR,2021
11/11/2021,Armistice 1918,FR,2021
01/01/2022,Jour de l'an,FR,2022
18/04/2022,Lundi de Paques,FR,2022
01/05/2022,Fete du Travail,FR,2022
08/05/2022,Armistice 1945,FR,2022
26/05/2022,Ascension,FR,2022
06/06/2022,Lundi de Pentecote,FR,2022
14/07/2022,Fete nationale,FR,2022
15/08/2022,Assomption,FR,2022
01/11/2022,Toussaint,FR,2022
11/11/2022,Armistice 1918,FR,2022
01/01/2023,Jour de l'an,FR,2023
10/04/2023,Lundi de Paques,FR,2023
01/05/2023,Fete du Travail,FR,2023
08/05/2023,Armistice 1945,FR,2023
18/05/2023,Ascension,FR,2023
29/05/2023,Lundi de Pentecote,FR,2023
14/07/2023,Fete nationale,FR,2023
15/08/2023,Assomption,FR,2023
01/11/2023,Toussaint,FR,2023
01/01/1995,New Year's Day,UK,1995
02/01/1995,New Year Holiday [Scotland],UK,1995
02/01/1995,New Year's Day (Observed),UK,1995
03/01/1995,New Year Holiday [Scotland] (Observed),UK,1995
17/03/1995,St. Patrick's Day [Northern Ireland],UK,1995
14/04/1995,Good Friday,UK,1995
17/04/1995,Easter Monday [England/Wales/Northern Ireland],UK,1995
08/05/1995,May Day,UK,1995
29/05/1995,Spring Bank Holiday,UK,1995
12/07/1995,Battle of the Boyne [Northern Ireland],UK,1995
07/08/1995,Summer Bank Holiday [Scotland],UK,1995
28/08/1995,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1995
30/11/1995,St. Andrew's Day [Scotland],UK,1995
01/01/1996,New Year's Day,UK,1996
02/01/1996,New Year Holiday [Scotland],UK,1996
17/03/1996,St. Patrick's Day [Northern Ireland],UK,1996
18/03/1996,St. Patrick's Day [Northern Ireland] (Observed),UK,1996
05/04/1996,Good Friday,UK,1996
08/04/1996,Easter Monday [England/Wales/Northern Ireland],UK,1996
06/05/1996,May Day,UK,1996
27/05/1996,Spring Bank Holiday,UK,1996
12/07/1996,Battle of the Boyne [Northern Ireland],UK,1996
05/08/1996,Summer Bank Holiday [Scotland],UK,1996
26/08/1996,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1996
30/11/1996,St. Andrew's Day [Scotland],UK,1996
01/01/1997,New Year's Day,UK,1997
02/01/1997,New Year Holiday [Scotland],UK,1997
17/03/1997,St. Patrick's Day [Northern Ireland],UK,1997
28/03/1997,Good Friday,UK,1997
31/03/1997,Easter Monday [England/Wales/Northern Ireland],UK,1997
05/05/1997,May Day,UK,1997
26/05/1997,Spring Bank Holiday,UK,1997
12/07/1997,Battle of the Boyne [Northern Ireland],UK,1997
04/08/1997,Summer Bank Holiday [Scotland],UK,1997
25/08/1997,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1997
30/11/1997,St. Andrew's Day [Scotland],UK,1997
01/01/1998,New Year's Day,UK,1998
02/01/1998,New Year Holiday [Scotland],UK,1998
17/03/1998,St. Patrick's Day [Northern Ireland],UK,1998
10/04/1998,Good Friday,UK,1998
13/04/1998,Easter Monday [England/Wales/Northern Ireland],UK,1998
04/05/1998,May Day,UK,1998
25/05/1998,Spring Bank Holiday,UK,1998
12/07/1998,Battle of the Boyne [Northern Ireland],UK,1998
03/08/1998,Summer Bank Holiday [Scotland],UK,1998
31/08/1998,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1998
30/11/1998,St. Andrew's Day [Scotland],UK,1998
01/01/1999,New Year's Day,UK,1999
02/01/1999,New Year Holiday [Scotland],UK,1999
04/01/1999,New Year Holiday [Scotland] (Observed),UK,1999
17/03/1999,St. Patrick's Day [Northern Ireland],UK,1999
02/04/1999,Good Friday,UK,1999
05/04/1999,Easter Monday [England/Wales/Northern Ireland],UK,1999
03/05/1999,May Day,UK,1999
31/05/1999,Spring Bank Holiday,UK,1999
